Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
PHD1601533/3,GI 1.5X122,,1.5LGI,1,0,13.299,0, No Tax, exclusive,,m=14.3_13.299|kg=1_0.93,,,,,,,,,,,,no_image.png,standard
1717830,GI 2.15X1200,,2.15LGI,1,0,18.09,0, No Tax, exclusive,,m=20.1_18.09|kg=1_0.9,,,,,,,,,,,,no_image.png,standard
HY13201-2018,GI 015X1000,,1.5DI,1,0,1.0735,0, No Tax, exclusive,,m=1.13_1.0735|kg=1_0.95,,,,,,,,,,,,no_image.png,standard
HY13201-2017,GI 0.15X1000,,1.2GI,1,0,1.0735,0, No Tax, exclusive,,m=1.13_1.0735|kg=1_0.95,,,,,,,,,,,,no_image.png,standard
PHD1650999/3,GI 0.25X1000,,2.5GI,1,0,1.9,0, No Tax, exclusive,,m=2_1.9|kg=1_0.95,,,,,,,,,,,,no_image.png,standard
PHD1170111-2,GI 0.23X1000,,2.3GI,1,0,1.9,0, No Tax, exclusive,,m=1.9_1.9|kg=1_1,,,,,,,,,,,,no_image.png,standard
PHD1658437/4,GI 0.55X1000,,5.5GI,1,0,3.4,0, No Tax, exclusive,,m=4_3.4|kg=1_0.85,,,,,,,,,,,,no_image.png,standard
PHD1658518/1,GI 0.6X1000,,6GI,1,0,3.9072,0, No Tax, exclusive,,m=4.44_3.9072|kg=1_0.88,,,,,,,,,,,,no_image.png,standard
XH170807(0.75),GI 0.75X1000,,7.5GI,1,0,5.51,0, No Tax, exclusive,,m=5.8_5.51|kg=1_0.95,,,,,,,,,,,,no_image.png,standard
PHD1624906/1,GI 1X1000,,1LGI,1,0,7.22,0, No Tax, exclusive,,m=7.6_7.22|kg=1_0.95,,,,,,,,,,,,no_image.png,standard
00006A,GI 1.2X1000,,1.2LGI,1,0,8.28,0, No Tax, exclusive,,m=9.2_8.28|kg=1_0.9,,,,,,,,,,,,no_image.png,standard
YT16C009680,0.6X1650,,6CR,1,0,11.04,0, No Tax, exclusive,,m=9.2_11.04|kg=1_1.2,,,,,,,,,,,,no_image.png,standard
Y16C009680,0.6X1650,,6CR,1,0,11.04,0, No Tax, exclusive,,m=9.2_11.04|kg=1_1.2,,,,,,,,,,,,no_image.png,standard
000011A,0.8X1500,,8CR,1,0,8.469,0, No Tax, exclusive,,m=9.41_8.469|kg=1_0.9,,,,,,,,,,,,no_image.png,standard
0000112X1760,1.2X1760,,1.2CR,1,0,23.184,0, No Tax, exclusive,,m=16.56_23.184|kg=1_1.4,,,,,,,,,,,,no_image.png,standard
1.2X1760X3500,1.2X1760,,1.2CR,1,0,23.184,0, No Tax, exclusive,,m=16.56_23.184|kg=1_1.4,,,,,,,,,,,,no_image.png,standard
000014X1660,1.4X1660,,1.4CR,1,0,26.6,0, No Tax, exclusive,,m=19_26.6|kg=1_1.4,,,,,,,,,,,,no_image.png,standard
1.4X1660X3500,1.4X1660,,1.4CR,1,0,27.09,0, No Tax, exclusive,,m=19.35_27.09|kg=1_1.4,,,,,,,,,,,,no_image.png,standard
A-5567-1,AL 0.33X1000,,3.3AL,1,0,7.018,0, No Tax, exclusive,,m=2.42_7.018|kg=1_2.9,,,,,,,,,,,,no_image.png,standard
A-15277-4,AL 0.75X1000,,7.5AL,1,0,5.8,0, No Tax, exclusive,,m=2_5.8|kg=1_2.9,,,,,,,,,,,,no_image.png,standard
A-15277-1,AL 0.95X1000,,9.5CL,1,0,7.25,0, No Tax, exclusive,,m=2.5_7.25|kg=1_2.9,,,,,,,,,,,,no_image.png,standard
48380,INOX 0.3X1250,,3INOX,1,0,7.2,0, No Tax, exclusive,,m=3_7.2|kg=1_2.4,,,,,,,,,,,,no_image.png,standard
XH1701094,INOX 0.3X1220,,3INOX,1,0,7.95,0, No Tax, exclusive,,m=3_7.95|kg=1_2.65,,,,,,,,,,,,no_image.png,standard
XH170608-SS2,INOX 0.4X1220,,4INOX,1,0,10,0, No Tax, exclusive,,m=4_10|kg=1_2.5,,,,,,,,,,,,no_image.png,standard
XH170608-2.SS1,INOX 0.5X1220,,5INOX,1,0,12.5,0, No Tax, exclusive,,m=5_12.5|kg=1_2.5,,,,,,,,,,,,no_image.png,standard
9A, Small Handle ,,SMH,1,0,0,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
9B,Big Handle ,,BH,1,0,0,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
9C,Small key,,SMK,1,0,0,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
9D,Big Key,,BK,1,0,0,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
9E,កន្លាស់ញ៉ូម,,345,1,0,0,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
9F,កន្លាស់ដែក,,34,1,0,0,0, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
